,CCA Cooling,Cooling plant sensible load,Radiators,CCA Heating,Heating plant sensible load,AHU Cooling,AHU Heating
7676,1060,1060,9314,29208,38523,0,1958
7677,1085,1085,22215,29065,51281,0,1960
7678,1108,1108,22743,28929,51672,0,1963
7679,1130,1130,22811,28797,51608,0,1965
7680,1464,1464,23643,26916,50560,0,1965
7681,1421,1421,23046,27041,50087,0,1965
7682,1422,1422,22933,27031,49965,0,1965
7683,1424,1424,22894,27007,49901,0,1966
7684,1427,1427,22813,26979,49793,0,1966
7685,1429,1429,22980,26950,49930,0,1966
7686,1431,1431,23044,26924,49968,0,1965
7687,1431,1431,9358,26895,36254,0,1969
7688,1431,1431,7388,26871,34260,0,1823
7689,1431,1431,13261,26841,40102,0,1824
7690,1433,1433,12497,26804,39302,0,1825
7691,1437,1437,11487,26758,38246,0,1825
7692,1443,1443,15988,26707,42695,0,1825
7693,1450,1450,15631,26653,42284,0,1824
7694,1459,1459,16358,26594,42953,0,1824
7695,1469,1469,15650,26532,42182,0,1824
7696,1480,1480,16940,26444,43384,0,1824
7697,1492,1492,17633,26361,43995,0,1819
7698,1504,1504,13660,26271,39931,0,1957
7699,1516,1516,13989,26166,40156,0,1955
7700,1527,1527,10202,26069,36271,0,1952
7701,1539,1539,23611,25975,49587,0,1950
7702,1550,1550,24895,25885,50781,0,1948
7703,1561,1561,26259,25795,52054,0,1947
7704,2752,2752,28750,20727,49477,0,1945
7705,2557,2557,29407,21240,50648,0,1944
7706,2503,2503,30088,21397,51486,0,2006
7707,2466,2466,30885,21512,52398,0,2379
7708,2433,2433,31887,21608,53495,0,2690
7709,2402,2402,33143,21695,54838,0,2983
7710,2371,2371,32993,21774,54768,0,3105
7711,2341,2341,15253,21846,37100,0,2009
7712,2312,2312,11862,21914,33777,0,1791
7713,2284,2284,19600,21972,41572,0,1790
7714,2259,2259,19425,22019,41445,0,1791
7715,2237,2237,18835,22052,40888,0,1792
7716,2218,2218,24355,22074,46429,0,1792
7717,2202,2202,24480,22085,46565,0,1793
7718,2188,2188,24379,22093,46473,0,1795
7719,2176,2176,23472,22097,45569,0,1798
7720,2167,2167,24105,22098,46204,0,1798
7721,2158,2158,23580,22100,45681,0,1798
7722,2150,2150,18195,22101,40297,0,1943
7723,2143,2143,16401,22100,38502,0,1943
7724,2136,2136,10827,22096,32923,0,1944
7725,2130,2130,23747,22090,45838,0,1945
7726,2125,2125,24355,22080,46436,0,1946
7727,2119,2119,24595,22066,46662,0,1946
7728,1349,1349,26192,25612,51805,0,1945
7729,1468,1468,26319,25149,51468,0,1944
7730,1494,1494,26212,24947,51160,0,1944
7731,1508,1508,26446,24785,51231,0,1944
7732,1519,1519,26835,24646,51482,0,1945
7733,1526,1526,26938,24520,51458,0,1944
7734,1532,1532,26557,24406,50963,0,1946
7735,1536,1536,11296,24303,35600,0,1950
7736,1539,1539,8633,24208,32842,0,1808
7737,1542,1542,13853,24118,37971,0,1811
7738,1545,1545,14038,24026,38065,0,1808
7739,1550,1550,13548,23933,37481,0,1808
7740,1557,1557,18839,23836,42676,0,1809
7741,1565,1565,18803,23742,42545,0,1810
7742,1573,1573,18405,23647,42052,0,1811
7743,1583,1583,17830,23557,41388,0,1810
7744,1594,1594,18139,23474,41614,0,1807
7745,1605,1605,17817,23394,41212,0,1807
7746,1616,1616,12603,23319,35923,0,1951
7747,1626,1626,11164,23250,34415,0,1951
7748,1637,1637,7851,23181,31032,0,1952
7749,1648,1648,19493,23117,42611,0,1952
7750,1658,1658,20708,23051,43760,0,1951
7751,1667,1667,21072,22990,44063,0,1951
7752,2475,2475,22548,19368,41916,0,1951
7753,2344,2344,22812,19756,42568,0,1950
7754,2310,2310,22991,19885,42876,0,1949
7755,2286,2286,23261,19980,43242,0,1947
7756,2264,2264,23435,20066,43501,0,1947
7757,2243,2243,23420,20140,43561,0,1945
7758,2222,2222,23406,20213,43619,0,1945
7759,2202,2202,9705,20277,29983,0,1946
7760,2181,2181,7454,20342,27796,0,1799
7761,2162,2162,12563,20396,32959,0,1799
7762,2146,2146,12788,20443,33231,0,1799
7763,2132,2132,12429,20474,32904,0,1801
7764,2121,2121,18029,20498,38528,0,1801
7765,2112,2112,18025,20512,38538,0,1801
7766,2105,2105,17808,20520,38329,0,1801
7767,2101,2101,18333,20529,38862,0,1801
7768,2097,2097,18546,20537,39083,0,1801
7769,2095,2095,17598,20544,38142,0,1802
7770,2094,2094,13401,20549,33950,0,1949
7771,2093,2093,12113,20555,32669,0,1952
7772,2092,2092,8022,20562,28584,0,1952
7773,2091,2091,19722,20562,40284,0,1952
7774,2090,2090,21011,20561,41573,0,1952
7775,2089,2089,21352,20559,41912,0,1953
7776,3718,3718,22831,15178,38010,0,1954
7777,3427,3427,23900,15850,39751,0,1954
7778,3351,3351,24736,16121,40857,0,1954
7779,3297,3297,25413,16342,41755,0,1952
7780,3248,3248,26358,16540,42899,0,1950
7781,3202,3202,26640,16726,43367,0,1948
7782,3157,3157,26728,16901,43630,0,1948
7783,3113,3113,11764,17067,28832,0,1948
7784,3071,3071,8925,17222,26148,0,1803
